title,genre,national,num_off_box
메이즈 러너: 스코치 트라이얼,action,America,2315853.716097373
극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,animation,Japan,127299.20639905779
스타워즈: 깨어난 포스,action,America,2383205.709339954
약장수,dramas,SouthKorea,100890.65226920797
헝거게임: 캣칭 파이어,fantasy,America,1948094.0100300936
리틀 맨하탄,melo/romance,America,92628.88228558535
탐정: 리턴즈,comedy,SouthKorea,5092865.371540143
달빛궁궐,animation,SouthKorea,104646.50018583679
위대한 소원,comedy,SouthKorea,580850.3591582951
콰이어트 플레이스,horror,America,584650.1365981406
수상한 그녀,dramas,SouthKorea,7320490.691870771
럼 다이어리,comedy,America,21517.550079972978
우리는 동물원을 샀다,family,America,304480.1457293187
애나벨,horror,America,815166.6708473065
0.0MHz,horror,SouthKorea,129242.63021704412
호빗: 스마우그의 폐허,adventure,America,3059827.8786047176
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,animation,SouthKorea,41119.47626518929
피치 퍼펙트,comedy,America,40573.24827333016
호프 스프링즈,melo/romance,America,130117.66889385192
토마스와 친구들: 우정의 대모험,animation,England,57898.6712719479
어쌔신: 더 비기닝,action,America,189495.60771064053
이스케이프,action,America,54036.09237390331
명탐정 코난: 감청의 권,animation,Japan,383267.52829184534
분노의 질주: 더 맥시멈,action,America,2469453.407859235
아기배달부 스토크,animation,America,299249.1059135727
에픽 : 숲속의 전설,animation,America,631358.5756333155
엔더스 게임,SF,America,871993.1179855715
피터 래빗,animation,America,340581.0465943976
더 퍼지 : 거리의 반란,horror,America,88964.04469874168
헨젤과 그레텔: 마녀 사냥꾼 3D,action,America,308566.74652068206
갤로우즈,horror,America,98520.08672213298
방황하는 칼날,crime,SouthKorea,989038.2881231329
엑스맨: 다크 피닉스,action,America,1506614.9697858396
기묘한 가족,comedy,SouthKorea,416198.43277028634
극장판 포켓몬스터 너로 정했다!,animation,Japan,468232.5698198241
무서운 이야기 3 : 화성에서 온 소녀,horror,SouthKorea,85023.82942715003
나우 유 씨 미 2,crime,America,3020890.873539723
덕구,dramas,SouthKorea,1170939.66143988
자칼이 온다,comedy,SouthKorea,228397.0257944633
빅샤크2: 해저2만리,animation,China,117160.08612084239
웨딩스캔들,comedy,SouthKorea,7059.688941173475
페이스 블라인드,crime,America,85332.79458259125
스타 이즈 본,dramas,America,493886.41690960876
아기돼지 3형제와 쿵푸랜드,animation,China,215584.84219065701
언프렌디드: 친구삭제,horror,America,173004.1347471504
명탐정 코난: 11번째 스트라이커,animation,Japan,468098.60943744046
신비아파트: 금빛 도깨비와 비밀의 동굴,animation,SouthKorea,809939.2843400047
마약왕,crime,SouthKorea,2205839.3280567275
페르디난드,animation,America,824032.3282256139
아르고,thriller,America,125354.63750863762
극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,animation,Japan,45360.073589891115
스누피: 더 피너츠 무비,animation,America,294608.0348432595
소녀괴담,mystery,SouthKorea,380261.62857318274
사냥,action,SouthKorea,1248405.1306461033
스파이,action,SouthKorea,2395405.6211272217
타이탄의 분노,action,America,894287.6472542213
포커스,comedy,America,98235.35016768181
언터처블: 1%의 우정,comedy,France,2522923.942186095
코리아,dramas,SouthKorea,1799398.941577008
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,animation,Japan,255120.9171595972
아가씨,thriller,SouthKorea,2850677.1913288943
헬머니,comedy,SouthKorea,348727.49348639185
레전드 오브 타잔,action,America,659440.4265830307
젝스키스 에이틴,documentry,SouthKorea,60831.066895752476
하이큐!! 승자와 패자,animation,Japan,61726.750015906924
전설의 주먹,dramas,SouthKorea,1761299.7396314852
콩: 스컬 아일랜드,action,America,1510795.0783074428
에그엔젤 코코밍: 두근두근 핼러윈 파티,animation,Japan,73385.56184196306
파이스토리 : 악당상어 소탕작전,animation,America,217730.97341370326
터미네이터 2 : 심판의 날 감독판,action,America,213018.4592279038
컨저링 2,horror,America,1228452.381276852
예전부터 계속 좋아했어 ~고백실행위원회~,animation,Japan,37855.16166930154
흑집사 -북 오브 더 아틀란틱-,animation,Japan,44969.798035136635
라스트 스탠드,action,America,108081.68236482743
돌아온 파워레인저 미라클포스,action,Japan,90608.6908213398
스타트렉 비욘드,action,America,1354689.997005705
수어사이드 스쿼드,action,America,1693808.9634246537
드래프트 데이,dramas,America,57706.51278063706
7번째 아들,adventure,America,143490.0024115817
13시간,action,America,120001.56114157448
닥터 스트레인지,action,America,6646483.139945162
왓칭,horror,SouthKorea,78050.11552765802
인시디어스 3,horror,America,376770.7123528273
서치,dramas,America,1502732.5338510443
라자루스,horror,America,30905.381800976767
건축학개론,melo/romance,SouthKorea,2679489.3865186353
가문의 영광5 - 가문의 귀환,comedy,SouthKorea,1003743.6475499654
스티브 잡스,dramas,America,74205.91194760369
메카닉: 리크루트,action,America,398074.3646036196
쓰리 세컨즈,dramas,Russia,77417.1732679528
캐빈 인 더 우즈,horror,America,229118.31625397882
매그니피센트 7,action,America,1353779.7076433066
사일런스,horror,America,67957.2772225377
터널,dramas,SouthKorea,4744715.8971901955
워터 디바이너,dramas,America,193922.6999912616
극장판 도라에몽: 신 진구의 버스 오브 재팬,animation,Japan,46336.50149936163
럭키,comedy,SouthKorea,6526518.278447242
두근두근 내 인생,dramas,SouthKorea,1035709.3938225064
양말요정 휴고의 대모험,adventure,Czech,82047.77027326706
비스트 앵콜 콘서트 3D,show,SouthKorea,53550.90594659102
명탐정 코난 : 탐정들의 진혼가,animation,Japan,202531.51764544979
화이트 하우스 다운,action,America,951053.3264242333
인카네이트,thriller,America,30625.06755439649
돈 크라이 마미,thriller,SouthKorea,1056663.0021588462
캡틴 아메리카: 윈터 솔져,action,America,3409191.2667708974
거울나라의 앨리스,adventure,America,358773.0633741068
설계,thriller,SouthKorea,69633.83170481649
정글히어로,animation,SouthKorea,138798.26529778936
레전드 오브 래빗,animation,China,54888.790532892606
브릭 맨션: 통제불능 범죄구역,action,France,93206.3506785589
결혼전야,melo/romance,SouthKorea,938430.4320528426
그대 이름은 장미,comedy,SouthKorea,212595.97228128606
사자,mystery,SouthKorea,3592445.067467399
꾼,crime,SouthKorea,3352104.167213822
리딕,SF,America,157870.71205289973
그것만이 내 세상,comedy,SouthKorea,2728615.4647732605
계춘할망,family,SouthKorea,589380.0051410893
피끓는 청춘,comedy,SouthKorea,2669099.7062507593
헝거게임: 더 파이널,action,America,832917.6351125526
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,animation,Japan,233915.14288118682
인천상륙작전 : 익스텐디드 에디션(확장판),war,SouthKorea,29625.79427873777
사이코메트리,mystery,SouthKorea,482310.9669968693
몬스터 호텔 2,animation,America,1456638.0784521513
아부의 왕,comedy,SouthKorea,434941.56046004896
토이 스토리 4,animation,America,6671930.162054419
샤잠!,action,America,867779.3675930153
어벤져스: 인피니티 워,action,America,10528051.98221513
동창생,action,SouthKorea,1995196.9849658401
명탐정 코난: 에피소드 원-작아진 명탐정,animation,Japan,81487.29570630244
50가지 그림자: 해방,dramas,America,164415.12745410253
차일드 44,thriller,America,48967.525178071664
원피스 3D : 밀짚모자 체이스,animation,Japan,28427.976338156965
사이드 이펙트,thriller,America,52611.248717535185
번개맨,fantasy,SouthKorea,61094.81678128995
하루,thriller,SouthKorea,1124590.6718843812
임금님의 사건수첩,comedy,SouthKorea,2623424.653877707
돈,crime,SouthKorea,3407165.971770339
로렉스,animation,America,909662.5094905489
올레,dramas,SouthKorea,54735.88392394206
천국에 다녀온 소년,dramas,America,24881.930426302664
분노의 윤리학,thriller,SouthKorea,251306.67635480815
특종: 량첸살인기,thriller,SouthKorea,1409032.361200226
악녀,action,SouthKorea,833248.0624006039
안나 카레니나,dramas,America,128785.2942314911
레이드 : 첫번째 습격,action,Indonesia,44492.569321043644
에스엠타운 더 스테이지,documentry,SouthKorea,54257.23903145296
그것,horror,America,783155.1723099741
타임 투 러브,comedy,America,77201.00713306661
하늘에서 음식이 내린다면 2,animation,America,779653.8589167965
월드 워 Z,dramas,America,4423503.953109748
러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,animation,Japan,49160.936658666644
반드시 잡는다,thriller,SouthKorea,469010.2863203618
프로즌 그라운드,thriller,America,28391.756359823456
인시디어스,horror,America,74511.44395369061
성난 변호사,crime,SouthKorea,1688253.8564816476
터보,animation,America,1911865.2164407014
팅커 테일러 솔저 스파이,thriller,England,105593.61910008515
나의 독재자,dramas,SouthKorea,844049.6148466124
마담 싸이코,horror,America,58123.083309527734
다크아워,SF,America,180353.2163697769
출동! 소방관 샘: 외계인 대소동,animation,England,47867.5098932493
극장판 썬더일레븐 GO VS 골판지 전사 W,animation,Japan,89743.47020043558
램페이지,action,America,1687310.9965830194
라스트 위치 헌터,action,America,166554.5568892224
검은손,horror,SouthKorea,27103.567151926454
블레이드 러너 2049,SF,America,639933.839112116
곡성,mystery,SouthKorea,10236944.777702669
아수라,crime,SouthKorea,5081601.396198927
007 스카이폴,action,America,3311872.3624698925
진범,thriller,SouthKorea,93049.46206925473
꼬마 잠수함 올리 2,animation,America,30366.01221048058
리틀 프린세스 소피아 : 신비한 섬,animation,America,96258.0577990655
챔피언,dramas,SouthKorea,937654.1706582383
극장판 루팡 3세 VS 명탐정 코난,animation,Japan,149204.26215429202
씽,animation,America,1138737.8438093788
스플릿,dramas,SouthKorea,1675809.1587703307
더 그레이,action,America,248056.27519004565
레드 스패로,thriller,America,186757.9124879705
범블비,action,America,2037888.557715613
번개맨의 비밀,family,SouthKorea,65405.6953544134
캐치미,comedy,SouthKorea,442582.605013315
네버엔딩 스토리,comedy,SouthKorea,214074.84421082216
엑스맨: 아포칼립스,action,America,3583188.293513719
파워배틀 와치카: 와치가면의 역습,animation,SouthKorea,52151.75690947863
"하늘을 나는 강아지, 비포와 친구들",animation,Israel,21315.48579410018
그레이트 월,fantasy,America,387394.8690026072
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,animation,Japan,277864.8290868807
당신에게도 사랑이 다시 찾아올까요?,melo/romance,America,53632.420587415996
어메이징 스파이더맨,action,America,4499630.065166361
여곡성,horror,SouthKorea,64130.1158858181
원라인,crime,SouthKorea,510922.5451327566
로마의 휴일,comedy,SouthKorea,153971.52864524478
정글북,adventure,America,2291936.6021527853
선 오브 갓,dramas,America,268821.20647977106
시크릿 인 데어 아이즈,mystery,America,40166.78767293319
스트레이트 아웃 오브 컴턴,dramas,America,75504.5010916884
파이브 피트,dramas,America,181065.06120977396
파워레인져스: 더 비기닝,action,America,111166.18696528849
더 씽,horror,America,72325.8733040468
감시자들,crime,SouthKorea,4061121.1094868165
명탐정 코난 : 이차원의 저격수,animation,Japan,312123.1370265277
인투 더 스톰,action,America,1360460.5365074705
도리화가,historical_drama,SouthKorea,337886.72737916245
나를 기억해,mystery,SouthKorea,143707.39525169233
베놈,action,America,4807503.703845743
강남 1970,action,SouthKorea,1496937.2377151204
23 아이덴티티,thriller,America,1701133.5557351634
크리드2,action,America,56485.71786110703
어바웃 리키,dramas,America,46186.654431093244
로켓맨,dramas,England,364905.79710744607
인디펜던스 데이 : 리써전스,action,America,1683368.4865033098
코코,animation,America,2617843.6605158797
위시 어폰,horror,America,85300.257449824
브로큰 시티,crime,America,28026.919426590095
해피 투게더,dramas,SouthKorea,20392.221127365734
덕수리 5형제,comedy,SouthKorea,137531.47910248232
트랜스포머: 최후의 기사,action,America,2444233.627004605
슈퍼배드 2,animation,America,1764739.7765835142
하드코어 헨리,action,America,80897.6247900898
범죄와의 전쟁: 나쁜놈들 전성시대,crime,SouthKorea,3834127.250871702
열한시,thriller,SouthKorea,852689.8208656631
다크 플레이스,dramas,America,75109.83433107071
트리플 9,crime,America,84235.71369924617
프렌즈: 둥지탈출,animation,German,48258.892306659945
퍼시픽 림: 업라이징,action,America,978870.096764486
휴고,family,America,91850.04442333142
열정같은소리하고있네,dramas,SouthKorea,409771.895353614
간첩,dramas,SouthKorea,1292231.7862796625
우상,thriller,SouthKorea,604680.5315157415
트롤,animation,America,418488.2626804678
아쿠아맨,action,America,2084742.6316241222
나이트폴,action,Hongkong,50536.77331571968
아빠를 빌려드립니다,comedy,SouthKorea,185486.820279999
코난: 암흑의 시대,fantasy,America,81139.50401404742
조선미녀삼총사,comedy,SouthKorea,858772.8643758273
은밀한 유혹,melo/romance,SouthKorea,187892.22249797912
슬로우 비디오,dramas,SouthKorea,1736167.7271870808
웜 바디스,melo/romance,America,1456622.6383171692
유고와 라라 : 신비의 숲 어드벤처,animation,China,84058.86607543558
해적: 바다로 간 산적,adventure,SouthKorea,4612182.487747961
무서운 이야기 2,mystery,SouthKorea,608010.2600811691
아메리칸 메이드,crime,America,596476.4447876015
시간이탈자,thriller,SouthKorea,1372687.0569437945
맨 인 블랙 3,action,America,3864197.1868062345
령 : 저주받은 사진,horror,Japan,50573.185119763184
헤라클레스 : 레전드 비긴즈,action,America,239832.0735180572
대호,historical_drama,SouthKorea,2752991.287256108
잭 리처,action,America,685768.1523633176
베를린,action,SouthKorea,6636733.740470707
앨빈과 슈퍼밴드: 악동 어드벤처,animation,America,210174.81811950018
극장판 샤이닝스타:새로운 루나퀸의 탄생!,animation,SouthKorea,11159.988483919271
빌리 엘리어트 뮤지컬 라이브,musical,America,-33008.81845542992
주먹왕 랄프 2: 인터넷 속으로,animation,America,2604354.1044873195
집으로 가는 길,dramas,SouthKorea,3025677.0752156293
밤의 여왕,melo/romance,SouthKorea,308931.1174040689
미션 임파서블: 로그네이션,action,America,5134134.816215379
위자,mystery,America,102848.29916260851
발레리나,animation,France,138411.1946283608
크레이지 리치 아시안,melo/romance,America,224807.46024144994
롤러코스터,comedy,SouthKorea,296427.0858846321
범죄도시,crime,SouthKorea,8401466.676985685
빅뱅 메이드,documentry,SouthKorea,69508.85301412191
그레이의 50가지 그림자,dramas,America,532472.4126008871
블랙 팬서,action,America,5161487.500374038
마이 리틀 히어로,dramas,SouthKorea,254569.69567856274
